date,pm2_5,pm10,o3,no2,so2,co,temp,pressure,humidity,wind_speed,clouds
2022-06-10,7.731666666666670,8.74708333333333,46.17583333333330,8.659166666666670,7.361250000000000,230.24291666666700,290.82,1017,88,3.6,0
2022-06-11,7.080000000000000,8.155833333333330,66.98833333333330,7.934583333333330,7.734583333333330,220.23,290.83,1019,77,1.54,0
2022-06-12,13.752083333333300,17.102916666666700,40.15625000000000,18.167083333333300,17.0975,318.5570833333330,291.77,1015,68,1.54,0
2022-06-13,12.365416666666700,13.887916666666700,50.057500000000000,12.045833333333300,9.818750000000000,253.81625000000000,285.75,1012,94,3.09,0
2022-06-14,2.922916666666670,3.9845833333333300,66.16166666666670,5.176666666666670,4.362083333333330,187.61666666666700,286.31,1016,78,2.57,0
2022-06-15,6.0075,7.8495833333333300,50.18416666666670,11.49,11.127083333333300,243.24583333333300,287.55,1017,84,0.0,0
2022-06-16,13.997500000000000,17.007500000000000,40.63375,23.105833333333300,19.495000000000000,338.4445833333330,289.8,1014,85,4.12,0
2022-06-17,5.8304166666666700,7.350416666666670,62.026250000000000,9.931666666666670,8.938750000000000,214.52750000000000,289.25,1019,79,1.03,0
2022-06-18,8.215833333333330,10.222916666666700,63.35166666666670,9.107083333333330,7.464166666666670,210.42500000000000,294.53,1011,66,2.57,0
2022-06-19,11.15041666666670,13.726666666666700,105.41000000000000,4.574583333333340,5.315000000000000,195.12541666666700,298.08,1005,56,3.09,0
2022-06-20,8.172916666666670,9.776666666666670,71.43625000000000,11.597500000000000,11.741666666666700,219.46416666666700,289.58,1003,94,6.17,75
2022-06-21,2.2450000000000000,2.6837500000000000,60.79791666666670,4.670000000000000,3.6441666666666700,181.98166666666700,286.16,1007,88,3.6,0
2022-06-22,6.922083333333330,8.957916666666670,53.83666666666670,10.102500000000000,10.084166666666700,223.21833333333300,290.43,1009,70,2.06,0
2022-06-23,14.239583333333300,18.200833333333300,38.955833333333300,22.042500000000000,25.094583333333300,350.7541666666670,292.26,1014,67,2.06,0
2022-06-24,8.434166666666670,10.853333333333300,47.83375,10.865833333333300,10.665416666666700,234.27625,293.7,1012,57,3.09,0
2022-06-25,7.173750000000000,8.665416666666670,55.10125,12.151666666666700,13.55625,229.89583333333300,296.84,1011,56,3.09,0
2022-06-26,5.9725,7.052916666666670,75.54958333333330,6.805416666666670,7.416250000000000,188.24250000000000,296.95,1015,58,3.09,0
2022-06-27,5.6795833333333300,7.033333333333330,67.24916666666670,7.527083333333330,8.183333333333340,191.92708333333300,298.26,1015,52,2.06,0
2022-06-28,8.648750000000000,10.023333333333300,62.375,11.522916666666700,10.272083333333300,224.7491666666670,293.62,1016,92,3.09,20
2022-06-29,12.280416666666700,13.811666666666700,67.44291666666670,15.68625,16.08416666666670,264.3875,295.02,1012,84,3.6,0
2022-06-30,8.944583333333330,10.647083333333300,50.59458333333330,11.845833333333300,11.398333333333300,244.2195833333330,298.41,1009,57,3.6,0
2022-07-01,4.625000000000000,5.453333333333330,63.37416666666670,7.05375,5.64875,196.72541666666700,297.75,1012,65,1.54,20
2022-07-02,4.802916666666670,5.220416666666670,58.04,8.20125,4.718750000000000,204.44500000000000,291.33,1021,85,2.57,40
2022-07-03,6.055,7.522916666666670,70.60416666666670,11.807916666666700,10.4575,207.64375000000000,293.12,1015,84,1.03,0
2022-07-04,8.4175,10.376666666666700,64.34083333333330,16.642916666666700,11.504583333333300,241.7170833333330,294.52,1013,78,0.51,0
2022-07-05,9.003333333333330,10.205416666666700,58.695000000000000,15.679166666666700,11.027916666666700,234.41500000000000,289.89,1013,92,2.06,100
2022-07-06,3.422083333333330,4.041250000000000,62.65875,7.020833333333330,5.514166666666670,183.23458333333300,288.85,1014,84,2.57,0
2022-07-07,4.573333333333330,6.135833333333330,47.355416666666700,13.400000000000000,8.126666666666670,212.1620833333330,291.14,1014,67,2.06,0
